ID_ENTIDAD,NOMBRE_ENTIDAD,CANTIDAD_DEUDORES,MONTO_TOTAL,MONTO_PREVISIONES,MONTO_SIT_1,MONTO_SIT_2,MONTO_SIT_3,MONTO_SIT_4,MONTO_SIT_5,MONTO_SIT_11
00315,BANCO DE FORMOSA S.A.,106225,263560425.0,241939572.0,244682255.0,7797929.0,5151757.0,4411154.0,1517330.0,0.0
00319,BANCO CMF S.A.,536,534228753.0,506586101.0,513465292.0,11949479.0,7185470.0,1585178.0,0.0,43334.0
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,265233,532936123.0,531904708.0,476975095.0,12645270.0,15861298.0,16272851.0,11181609.0,0.0
00322,BANCO INDUSTRIAL S.A.,344564,1289411368.0,1269272391.0,1263247311.0,7947513.0,3517935.0,11458984.0,3239625.0,0.0
00330,NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA,428080,2091986912.0,1956846119.0,1973080851.0,47766313.0,32274777.0,28531332.0,10333639.0,0.0
00331,BANCO CETELEM ARGENTINA S.A.,4,4890849.0,4890849.0,4890849.0,0.0,0.0,0.0,0.0,0.0
00332,BANCO DE SERVICIOS FINANCIEROS S.A.,506090,409648581.0,409648581.0,186306299.0,37320612.0,65536819.0,93141677.0,27343174.0,0.0
00338,BANCO DE SERVICIOS Y TRANSACCIONES SAU,14664,345066933.0,331063187.0,337795119.0,2178867.0,789119.0,4216217.0,87611.0,0.0
00339,RCI BANQUE S.A.,77,304194806.0,226980096.0,304194806.0,0.0,0.0,0.0,0.0,0.0
00340,BACS BANCO DE CREDITO Y SECURITIZACION S.A.,30780,169601619.0,169601505.0,166107240.0,429262.0,424418.0,2631083.0,9616.0,0.0
00341,BANCO MASVENTAS S.A.,6666,13608732.0,13419173.0,11967485.0,324942.0,333482.0,833075.0,145913.0,3835.0
00384,UALA BANK S.A.U.,316935,360792384.0,360792384.0,193186642.0,23935405.0,51340197.0,79163651.0,13166489.0,0.0
00386,NUEVO BANCO DE ENTRE RÍOS S.A.,205995,931968329.0,886683899.0,887692969.0,20880778.0,12174810.0,10021203.0,1198569.0,0.0
00389,BANCO COLUMBIA S.A.,166759,268332268.0,226014858.0,199591766.0,19119942.0,19267032.0,26712372.0,3641156.0,0.0
00426,BANCO BICA S.A.,60646,152491415.0,144777737.0,145118752.0,2208955.0,1715070.0,2022131.0,403886.0,1022621.0
00431,BANCO COINAG S.A.,13596,141229794.0,124708630.0,129562832.0,6543185.0,2013082.0,2732828.0,309277.0,68590.0
00432,BANCO DE COMERCIO S.A.,11847,87739224.0,70598269.0,83902194.0,2743366.0,538063.0,406401.0,53000.0,96200.0
00435,BANCO SUCREDITO REGIONAL S.A.U.,840,5026452.0,4537494.0,3926881.0,353480.0,169928.0,561907.0,14256.0,0.0
00448,BANCO DINO S.A.,5596,21729231.0,16131116.0,20172690.0,205009.0,218880.0,1085686.0,46966.0,0.0
10303,F.F PRIVADO YATASTO,59797,93711201.0,93711201.0,0.0,0.0,0.0,19674914.0,74036287.0,0.0
10494,F.F. Y DE ADM. CHACO-ACTIVOS FINANCIEROS,517,62756.0,62756.0,62756.0,0.0,0.0,0.0,0.0,0.0
10500,F.F. Y DE ADM. LA RIOJA REFINANCIAMIENTO DEL SECTOR PROD.,13,9916.0,9916.0,9001.0,915.0,0.0,0.0,0.0,0.0
10556,FF PRIVADO CREVAL,3759,458692.0,458692.0,0.0,0.0,0.0,0.0,458692.0,0.0
10608,F.F. Y DE ADM FIDEICOMISO DEUDORES AGROP BNA ENTRE RIOS,9,753.0,753.0,753.0,0.0,0.0,0.0,0.0,0.0
10628,F.F. PRIVADO ASSET RECOVERY 5,3843,463651.0,463651.0,7109.0,221.0,688.0,4369.0,451264.0,0.0
